,heading,date,link
10,"Revised Time Table for Even Semester 2019 of IT 2nd, 4th and 6th semestersPublished By: Mr DEVENDER KUMAR YADAV, INFORMATION TECHNOLOGY",12/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?vL+94GkEyi3ssStiH5YxS1109dqOGnO05Vy75auNpgnH7dzAvfhmRDIn3EzUqArWA2++I89Ho3IYPA1/D8L1Z1E3j7fvfNjiIbs467dQBA7Z1dBxRUr+y0SF31l28WWqY2ace5t9CsbZXFQylT+1kaLHM6oW13vF5l9wNknWXXct3ZA1+zZlYzM1VGiQAzyzevpINQq7LiOIPEyec6JyGg==
11,"Guideline for FE course Re registrationPublished By: Mr. AJAY KUMAR KATARIA, COORDINATOR, DEAN UG STUDIES",12/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?hLmWtHmG16L/F4hF6IfU3qlFrRzrvPFQX4HYNbVkV7KvUeEldxGdRt5GvZ7gvWXrt2PfNHM5C2f+U+jmbjnCJYZ5gvIeFLn/wOHhEMEveIDtDzqIleO8RwMz4yojm5xSwfINvsk5XWBNTdwq41ZwuqUtUXJ8EdpvJeVR4fggdWUAJNDTo3ZoGcrV8373XPXkSfDcxmJ+hT1i/8qk+bH6Ow==
12,"Important Notice for Registration, ReRegistration, Mess Fee Payment, Last Date of Online RegistrationPublished By:  KHUSHIL KUMAR SAINI, NSIT ADMIN, CIMS",11/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?zHUC3M52YinnJrtQOwCJIMABMoiCsOSNiz8M2PyMooP2EQDu4x8w/gwAVLJyc2amyU0Vebo10V3jSGBq0uYRKxJ+lO0RDM7EeMe5Jq0tMew/nvnerQSLyCyuQA6ISfOjDpKjut5L1QgRh7GLdjVO3Fp/IbZeoma4IqFHg09AP32gg4c9qGJr3Jd5vKPm3EiV8nn+o2JOPgLKR9c4h+NuzQ==
13,"Foundation Elective Course Time Table for 6th Semester for Re-Appear/Re-Registered StudentsPublished By: Mr. AJAY KUMAR KATARIA, COORDINATOR, DEAN UG STUDIES",10/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?Jb1EY7VkJOcCkvvHSUFDIeJFnUH3RkovP6ERN4ZBGLXf+Brb6Vn1BgUBIG6hN6OTRDxglpu4uyecAdE7CC+65elNM8G3/8Mub1AQNxe+599Yk/tLnQ4kZakog8IOpcnZwXjA4fbAKvDpzItuVkX4kQNFlO/WKMueK54nQKBnza0PCmgfZMELDlNX1uc+x0FT5krxpZ7MsNq/lZFN1/faUhk4MBTgdzHxcxjUJK2Kyr9BwrPPcjers7aFdvyGNEHD
14,"FE Courses Time Table for Even Semester 2019Published By: Mr. AJAY KUMAR KATARIA, COORDINATOR, DEAN UG STUDIES",10/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?cGirx8g/daFd0M8FN7UDHI/ulaiiEvTkOQbwFugu4qx+Zm8eFeVAyDfPz4M4WAqH/yC1rz2TMrsh9F8O0PQ9mVnRM2Q5hh3dj7YGWP1DoYiHiG582oPNIKz8lQf35BvE06Iqn3CE9QbdHkaYsrlWztKxfXkX+Kyz14K+kgJWzheOo1fknc/NKAyv5QnGKCIhDlQP2CM5+5LXFUcAnI6HLA==
15,"Revised TIME TABLE (ECE) EVEN SEMESTER 2018-19Published By: DR ANKUR BANSAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",8/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?yUrp0BgvRVFAmWh2vqvzz06jA3UUi0ZNGjvDWCxzw/si5v2mAe9VLXv8xHoZHsI41ZbviKQ8P0FZfMqIcFVjhIBPm7HZZGHET9yhnYzbJp+rMVn0n7OCk3snmRv4935WqXg9puqnVOgtMSDXMjNkTAag6+58ydXLYD43XY3I4s++VSuM6oCu7C+cNhn93Qy/qXUWWQzADNq5ZmQMP3IntPPPBPsk/90CN9Wqn+5APIXV1qcoQFjAYZalm7WcuJZI
16,"REVISED TIME TABLE OF EVEN  SEMESTER JAN JULY 2019 FOR ICE DEPT.Published By: MS MANISHA, INSTRUMENTATION AND CONTROL ENGINEERING",8/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?xY2d+JRQCkLUwPs+UwokHtZ3GL94yg3Fvndq+9jFKMUgSeQSUx2upG++jngk5z+7ATIkIARXuQu15vY8vRAcl1ucK+p+mMireVDwobpY07osdoP/JwRm24+I7iDOwbR3vP3MT89WGN71rgj89JMezmSvnPgR70c2QgkOAR82eTls7D7l98FBF+MLGLQA8AtDJA7DIrpVGPoNWVzO4XOMXZ7nldpZNAdn4WPS+MGRzcfodpcXG5aTbbCiPUcjalMp
17,"Notice towards Walk-in-interview for Guest Faculty for Even Semester commencing from 01.01.2019Published By:  PANKAJ AGGARWAL, UDC, ACADEMIC SECTION UG",7/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?8GLUcegJybrbdBBnAoJ+PtFXU2s9HDbnuwOw/afLWe7H+YHQkUQQ+aupEqzrWsSYJh7YXwcoATAMB5yHDln8hXqYuDRJyPZUnKa00ky1Sm/d03LgFhCUeAHEkkWaaCHiq6mZWQ0q3abmmiabu2KYEu6CENC4Rg3yMR3tqpIu3RSKlThmeZ7WktYW6vM/Du7HjXZaCdjOmpXbS3K2bV1MhHAX9j/H9If3atH3XO2t/6A=
18,"Time Table of FC006 Mathematics-II and FC00 Engish-II reappear sections of all departments of NSUTPublished By: Dr RITU SIBAL, COMPUTER ENGINEERING",7/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?wHqwOG8eUFI9koHFP/K6KsO64GHtPD9fmkq2s0OmWKr7femDOc92cZGjP9qIhI7HJ4hdyNwAykr7qcImVrY+nCzRhO0Yp7+XvoadYVJGdq/QLrjWwM8goC2A35l6CdbLgmKq0sh+ZSTW1NxneEOuiaJJselARHCImWZdCPH1eqN+85ncp6RP518DuzyDS7g5RP1iCgbCAED0tzkCG2DCIOplkp3jpYTwm6OYTZ+K/ND5xjbBmhqLTTmm1J5KI9G5IqTFc0dj0KaSrCQxfVntJKmdqKPjgS3OXlwuE7XmQGNlRsRd4FWrjHCBSzbQmGdo
19,"Revised Time Table for Even Semester 2019 of IT 2nd, 4th and 6th semestersPublished By: Mr DEVENDER KUMAR YADAV, INFORMATION TECHNOLOGY",6/12/2018,https://www.imsnsit.org/imsnsit/plum_url.php?qA/LpUd8mLRWGrFNgqh9IH4k9WXOz5htjui3t86ckp2cMgNOiUR+stcBOptt9N6j+MZ5YYiyZqPvA0sQUEJZv67vsSaNHapSypJOSa1VFJ5oif7HmkYdNWhDpr+F7JUvQWl0KKgaidAGv18+Fzvfdkxks9UcxEmar1V8aGfgNRTJFuvRxJAWaB2FQMQYuG4o
