,heading,date,link
40,"Revised Detention list of B.E. 5th Semester Students 2018-19Published By:  PANKAJ AGGARWAL, ACADEMIC SECTION UG",16-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?NSRgvWLS1IjkWyFMgCmfsJnza9UhaDgmabnL2jkARVmvvUdG0xh6rPl04rpakF94egtXzYgNu4iP0qwOKb/xtR6AFuuFfB3iizYoLOTxaXcIy66f6cqTJsEIRrqDDYwxqspah57vO0BtmXv3aosM5Sm1Il1ROvEaVUjcjhIxh0JjHtBtCeW6NSPuPmrdp5xkUAdQNRNT93EJLVrn08x/Vw==
41,"Revised Detention list of B.E. 3rd Semester Students 2018-19Published By:  PANKAJ AGGARWAL, DEALING ASSISTANT-2, ACADEMIC SECTION UG",16-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?NRccA0juMSPkT7o9JojCMx8MsPwrOG3uMdRn0XuGl579VwOnuWhop53a3gEnu8o1DLXsouPnb0zGnNfNcsvLFMNOHLsHjiaHyClHSHGJatjamMxfW+/c65qkGfZprof7T84nlt4YigBMO4p0SnmShuTU6doqHEwwokNC1zpoZ52mREekE/yfZxTybaUoiLpV
42,"Revised Detention list of B.E. 1st Semester Students 2018-19Published By:  PANKAJ AGGARWAL, DEALING ASSISTANT-2, ACADEMIC SECTION UG",16-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?W0bZ0pX64reGkm4AQoFJkkbGmZyYPN2U7EGkgVcrOE4Y74vgchda7fuDznffXEFTSMFsL/SzfEPTmHQ0MGAF1w3oaURoYBUXYllOm/8cQ2zSOBfcxJYiIedrMtosLzzsPuaahmnnhXuBsDQaZJEjWumqDJKu587Af9Az80L1R0c/A0YvgIdCXy/I2ICehovA
43,"Revised Detention list of M.Tech. 3rd Semester Students 2018-19Published By:  PANKAJ AGGARWAL, DEALING ASSISTANT-2, ACADEMIC SECTION UG",16-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?W2LtdU95exwwmyrvgx0RvaWwKrZwuc3qbsdRNNoxWD/hpnU3t21Dran9T3N/ylSC+Fh8SBR6BE+avLfXIK96BQwHnvEi25tb/4xvKiBoKCHpDLZrKjfl/T0FX2e2V1g8mkjWtHoKJu5oSiK1EM97kSiGQwsCJzHJmgy7KebRex2PHUActsHkY6WydskWuzLEhBZGcoR1OI0qpXUM1k02/w==
44,"Invigilation Duty Chart Nov Dec 2018Published By:  KHUSHIL KUMAR SAINI, NSIT ADMIN, CIMS",16-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?3yGrXS9MW9AU15xwRgFSZLWP6KuzqdQfi/j1fBR50T1i6UBmzn9wqEobunSHzbu3ABo7nipfsbzY5Dc4wldsYN/ilfGdlxwLTsgu5oG2Jr9BmitrHtRC7X+6k2hY7ltNjAV0Q+IAO60c91FgB2cm9CC/MMBSFSlTYjSMxZiK5yaMKPRS7+Yisx0qUWi51Vdq4RPgYyxagZi8YdDz5tIV5u6rCfjxCYowbBqoL1Fwhlg=
45,"Backlog Exams of COE DivisionPublished By: Dr PINAKI CHAKRABORTY, COMPUTER ENGINEERING",15-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?fY0kz4OEMT8CED23DjXePlwsJ354XqqIADSOkCM6uYccrtlXniPBnPvZaPqdj85mBHBjKgKYwwrm9+ZgPFUumlA/za783MbDgwTBX3DyX5jvEZH5SycMmFi+Csa+m9RUaBBcbyDUNCLp00B15sobGO/wRdA85QdQiWDZ4VqDpt7hkfu1x28OLpeDZPpm6niI
46,"Important Notice for B.E. Students of 1st SemesterPublished By: Mr HIMANSHU SINGHAL, CIMS COORDINATOR1, CIMS",15-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?14x9tqSpmr5Ss32hZ98qxXlQLZdYMIHF8XLQDevLjoQU7b0NrZzCNgsM21uG7PW5A5mqZ6pRsHl53ZhdGVUJjnyZW+HNDFLu9K7dpb3p7hLa9bY4RSz+Otafp6SaLGfHNminugKP0NSqZbNE5CN6AqGXM/rFpAp2OmKh5pGg88sY3XeD9ho4H6aj72SaRtNdNwCeT/oX9SvkPz9EQuPRjAJU6UkWJ1LqDjjEX2LdJzA=
47,"M.Tech End Semester Exam Date Sheet Nov 2018Published By:  ABHISHEK FAUJDAR, CIMS COORDINATOR2, CIMS",15-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?4+buW9/h8leQ7uHjvSRD3QU17Tl1p9Ex6d9ykrLrlL0KjLM/5TfFKo19RQuNDF5Yq+UK6w4GOozMxGPb10VIbYsSYSbD78axPQ4s/Oj8vbSdXbRgwSS85SnKv+H/ETgwjHCaufvcvfabjLWV3cSQaD+KesaUyt8uIczBVxY5Kgr2vYPEtHvj8hFZ2SH7Tj3A3X5KTgNld+kAhZ265u2nspH75IQ85aHzMLof0mrn/QM=
48,"B.E End Semester Date Sheet Nov 2018Published By:  ABHISHEK FAUJDAR, INSTRUCTOR, ELECTRONICS AND COMMUNICATION ENGINEERING",15-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?hIwvVY74Mzetpa75h+uKi/zZOU+eidmqtOst19qzXs0kXvRq0KjIIxe2OeR4JDvLhKbDIVJOdUXYg9ClC2SuawJu30jjH6aSA60JfSuS4IlE+axvbuXI1VDtzouo+OoGeFyQ6mdKHAS19caMXlu8Q3uhJ7ZmOtVf4QbMOgaYztGMQc74dtdqcNvAV80jhorTrHDlaiAkv4zGExPiGgtgk3Hm+Rjxluh3i6QJEnPXnKJCE3+xoFWLO22j803GEcVSvGKaye9mzi8fzUCEnMExSA==
49,"Office Order: Regarding Phool Waalon Ki Sair on 15.11.18Published By: Mr HIMANSHU SINGHAL, CIMS",14-11-2018,https://www.imsnsit.org/imsnsit/plum_url.php?NE4K9h/JTNxRBU6hk/GTGk5tdpiGDOCvHJjHWkglDorRDQP/O0rCabEDFqOIbDn1Vz07boEYIPjs3G9pMkUX4EEs/v67z976utWQyabeQOAq5Is1FBOLHK9j+nb8EBbfHg6rsy5HzdfSjb+QQ98H5n36hJBEsdsKhHuW8XQwRynJY7I5UWaxMEc6oGZp3SpMt+CWELJ4w+GzrDRtME0RbQ==
